age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class
3.6635616461296463,4,11.25823964564614,13,13,5,11,4,4,1,2174,0,3.6888794541139363,41,1
3.912023005428146,7,11.330335872257857,13,13,6,12,5,4,1,0,0,2.5649493574615367,41,1
3.6375861597263857,8,12.281393453329883,15,9,4,5,4,4,1,0,0,3.6888794541139363,41,1
3.970291913552122,8,12.366152853763097,10,7,6,5,5,3,1,0,0,3.6888794541139363,41,1
3.332204510175204,8,12.732010502105226,13,13,6,14,1,3,0,0,0,3.6888794541139363,32,1
3.6109179126442243,8,12.558776715975753,12,14,6,12,1,4,0,0,0,3.6888794541139363,41,1
3.8918202981106265,8,11.984097161759378,5,5,1,9,4,3,0,0,0,2.772588722239781,30,1
3.9512437185814275,7,12.253156593034687,15,9,6,12,5,4,1,0,0,3.8066624897703196,41,0
3.4339872044851463,8,10.731624436867815,12,14,5,14,4,4,0,14084,0,3.912023005428146,41,0
3.7376696182833684,8,11.979479400860056,13,13,6,12,5,4,1,5178,0,3.6888794541139363,41,0
3.6109179126442243,8,12.544200653462328,14,10,6,12,5,3,1,0,0,3.6888794541139363,41,0
3.4011973816621555,4,11.858619337024724,13,13,6,14,5,2,1,0,0,3.6888794541139363,33,0
3.1354942159291497,8,11.714003350246626,13,13,5,11,3,4,0,0,0,3.4011973816621555,41,1
3.4657359027997265,8,12.230857936752578,9,12,5,10,4,3,1,0,0,3.912023005428146,41,1
3.6888794541139363,8,11.709905722772842,11,11,6,13,5,2,1,0,0,3.6888794541139363,39,0
3.5263605246161616,8,12.410999271657822,7,4,6,6,5,1,1,0,0,3.8066624897703196,40,1
3.2188758248682006,7,12.082525529434426,15,9,5,4,3,4,1,0,0,3.5553480614894135,41,1
3.4657359027997265,8,12.137922276181463,15,9,5,8,2,4,1,0,0,3.6888794541139363,41,1
3.6375861597263857,8,10.271146945908393,10,7,6,10,5,4,1,0,0,3.912023005428146,41,1
3.7612001156935624,7,12.585108216801357,12,14,4,12,2,4,0,0,0,3.8066624897703196,41,0
3.6888794541139363,8,12.173156814768516,3,16,6,14,5,4,1,0,0,4.0943445622221,41,0
3.9889840465642745,8,12.618665623244356,15,9,3,9,2,3,0,0,0,2.995732273553991,41,1
3.5553480614894135,2,11.249545685041412,5,5,6,4,5,3,1,0,0,3.6888794541139363,41,1
3.7612001156935624,8,11.670245403103019,10,7,6,6,5,4,1,0,0,3.6888794541139363,41,1
4.07753744390572,8,11.599240766422149,15,9,4,3,2,4,0,0,0,3.6888794541139363,41,1
