age,education,education_num,marital_status,occupation,relationship,sex,capital_gain,wage_class
0.540508820448516,0.8666666666666667,0.8,0.8333333333333333,0.7857142857142857,0.8,1.0,0.09863883847549908,1
0.7022428252102799,0.8666666666666667,0.8,1.0,0.8571428571428571,1.0,1.0,0.0,1
0.5236002779954945,1.0,0.5333333333333333,0.6666666666666666,0.3571428571428571,0.8,1.0,0.0,1
0.7401725213634107,0.6666666666666666,0.4,1.0,0.3571428571428571,1.0,1.0,0.0,1
0.3248144494782774,0.8666666666666667,0.8,1.0,1.0,0.2,0.0,0.0,1
0.5062407883237328,0.8,0.8666666666666667,1.0,0.8571428571428571,0.2,0.0,0.0,1
0.6890920287616191,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.6428571428571428,0.8,0.0,0.0,1
0.7277732458189503,1.0,0.5333333333333333,1.0,0.8571428571428571,1.0,1.0,0.0,0
0.3910691090062903,0.8,0.8666666666666667,0.8333333333333333,1.0,0.8,0.0,0.6390199637023593,0
0.5887488331210504,0.8666666666666667,0.8,1.0,0.8571428571428571,1.0,1.0,0.2349364791288566,0
0.5062407883237328,0.9333333333333332,0.6,1.0,0.8571428571428571,1.0,1.0,0.0,0
0.3697248268387774,0.8666666666666667,0.8,1.0,1.0,1.0,1.0,0.0,0
0.1967674012124847,0.8666666666666667,0.8,0.8333333333333333,0.7857142857142857,0.6000000000000001,0.0,0.0,1
0.41173567920814297,0.6,0.7333333333333334,0.8333333333333333,0.7142857142857142,0.8,1.0,0.0,1
0.5569892522092112,0.7333333333333333,0.6666666666666666,1.0,0.9285714285714284,1.0,1.0,0.0,0
0.4511988090132071,0.4666666666666667,0.2,1.0,0.42857142857142855,1.0,1.0,0.0,1
0.2510440161970726,1.0,0.5333333333333333,0.8333333333333333,0.2857142857142857,0.6000000000000001,1.0,0.0,1
0.41173567920814297,1.0,0.5333333333333333,0.8333333333333333,0.5714285714285714,0.4,1.0,0.0,1
0.5236002779954945,0.6666666666666666,0.4,1.0,0.7142857142857142,1.0,1.0,0.0,1
0.6040658288540361,0.8,0.8666666666666667,0.6666666666666666,0.8571428571428571,0.4,0.0,0.0,0
